TIMESTAMP_START,TIMESTAMP_END,FC,FC_SSITC_TEST,FCH4,FCH4_SSITC_TEST,LE,LE_SSITC_TEST,H,H_SSITC_TEST,PPFD_IN,TA,TS,RH,VPD_PI,USTAR,WS,WD,MO_LENGTH,V_SIGMA,FCH4_gf,GPP_PI,GPP_PI_F,RECO_PI,RECO_PI_F,NEE_PI,NEE_PI_F
201201010000,201201010030,0.974019,1,-9999,2,-9999,2,-23.558,1,0,28.37,19.2,50.503,19.05433,0.2591,2.817994412,150.3427019,66.73000138,0.267487526,-4.93820000000083,NaN,0,1.1688228e-05,1.1688228e-05,1.1688228e-05,1.1688228e-05
201201010030,201201010100,1.14576,1,-9999,1,-1.5,1,-23.239,1,0,28.22,19.17,50.582,18.85813,0.2799,3.012037073,149.6833552,85.28361563,0.261358304,-9.6554347826088,NaN,0,1.374912e-05,1.374912e-05,1.374912e-05,1.374912e-05
201201010100,201201010130,1.018816,1,-9999,1,-9999,2,-15.786,1,0,28.43,18.92,50.336,19.18285,0.3097,3.165824797,146.4881739,170.0523753,0.303698602,-3.05172727272725,NaN,0,1.2225792e-05,1.2225792e-05,1.2225792e-05,1.2225792e-05
201201010130,201201010200,0.903371,1,-9999,1,0.253,1,-11.358,1,0,28.55,18.66,49.336,19.70239,0.2704,2.807261602,143.5336567,157.3070466,0.231411377,10.9846923076923,NaN,0,1.0840452e-05,1.0840452e-05,1.0840452e-05,1.0840452e-05
201201010200,201201010230,1.125029,1,-9999,1,-0.41,1,-14.218,1,0,28.42,18.44,49.139,19.63027,0.2608,2.653639522,141.2757276,112.7500627,0.190968551,10.5892307692308,NaN,0,1.3500348e-05,1.3500348e-05,1.3500348e-05,1.3500348e-05
201201010230,201201010300,1.037334,1,-9999,1,-1.405,1,-22.586,1,0,28.09,18.21,49.46,19.13265,0.2551,2.700405762,135.9158305,66.44449248,0.179546151,-3.99107692307695,NaN,0,1.2448008e-05,1.2448008e-05,1.2448008e-05,1.2448008e-05
201201010300,201201010330,0.996056,1,-9999,2,-9999,2,-20.924,1,0,27.79,18.34,49.821,18.67597,0.2388,2.535408581,134.2922454,58.80577325,0.192100459,-5.6746923076923,NaN,0,1.1952672e-05,1.1952672e-05,1.1952672e-05,1.1952672e-05
201201010330,201201010400,0.739096,1,-9999,2,-9999,2,-20.623,1,0,27.63,18.46,49.812,18.49622,0.2051,2.122032065,134.6313578,37.83239801,0.134322903,9.85907692307687,NaN,0,8.869152e-06,8.869152e-06,8.869152e-06,8.869152e-06
201201010400,201201010430,0.994073,1,-9999,2,-9999,2,-18.136,1,0,27.4,18.19,49.677,18.30122,0.1741,1.777666923,131.3978671,26.32073798,0.0816,0.850000000000005,NaN,0,NaN,1.25315917672741e-05,NaN,1.25315917672741e-05
201201010430,201201010500,1.102356,1,-9999,2,-9999,2,-23.03,1,0,27.25,17.92,49.741,18.12493,0.2178,2.100906233,131.4574056,40.52795722,0.123027346,1.72638461538462,NaN,0,1.3228272e-05,1.3228272e-05,1.3228272e-05,1.3228272e-05
201201010500,201201010530,0.903868,1,-9999,2,-0.426,1,-21.345,1,0,27.23,17.27,50.018,18.00396,0.2362,2.601264973,123.9890261,55.81330924,0.182633516,4.76438461538464,NaN,0,1.0846416e-05,1.0846416e-05,1.0846416e-05,1.0846416e-05
201201010530,201201010600,0.886478,1,-9999,2,-0.392,1,-23.369,1,0,27.24,16.62,50.111,17.98174,0.2298,2.351610331,125.8670112,46.95984556,0.167179561,2.38720000000011,NaN,0,1.0637736e-05,1.0637736e-05,1.0637736e-05,1.0637736e-05
201201010600,201201010630,0.721383,1,-9999,2,-9999,2,-22.175,1,0,27.17,16.5,50.243,17.85453,0.215,2.201309767,140.0259131,40.52425951,0.163364204,13.6873333333333,NaN,0,8.656596e-06,8.656596e-06,8.656596e-06,8.656596e-06
201201010630,201201010700,0.935832,1,-9999,2,-0.509,1,-18.323,1,0,26.96,16.38,50.238,17.63813,0.1682,1.816613532,145.4978177,23.46122455,0.086,11.3397777777779,NaN,0,NaN,1.07473167731514e-05,NaN,1.07473167731514e-05
201201010700,201201010730,0.878365,1,-9999,2,-1.221,1,-16.643,1,0,26.67,16.45,50.37,17.29395,0.1487,1.792981468,146.2257529,17.84536249,0.0694,3.44511111111114,NaN,0,NaN,1.1193562372258e-05,NaN,1.1193562372258e-05
201201010730,201201010800,0.665909,1,-9999,2,-9999,2,-12.745,1,0,26.49,16.51,50.147,17.19303,0.1118,1.460461443,148.967475,9.904662984,0.0524,2.85488888888892,NaN,0,NaN,1.09678013070445e-05,NaN,1.09678013070445e-05
201201010800,201201010830,-9999,2,-9999,2,-9999,2,-9999,2,0,26.13,16.58,50.153,16.83237,0.0767,1.355807332,147.5251869,5.778581653,0.0216,3.32022222222225,NaN,0,NaN,1.18417991589276e-05,NaN,1.18417991589276e-05
201201010830,201201010900,-9999,2,-9999,2,-9999,2,-9999,2,0,26.08,16.64,48.903,17.19416,0.0793,1.33854443,160.1803961,5.072843841,0.074,3.94422222222224,NaN,0,NaN,1.24294253278024e-05,NaN,1.24294253278024e-05
201201010900,201201010930,-9999,2,-9999,2,-2.897,1,-3.405,0,0,25.89,16.66,48.06,17.28857,0.0664,0.874808517,193.491451,7.750974673,0.155962683,4.56822222222225,NaN,0,NaN,1.32919238159539e-05,NaN,1.32919238159539e-05
201201010930,201201011000,-9999,2,-9999,2,1.714,1,-9999,2,0,24.36,16.67,51.684,14.67854,0.0348,0.71218271,316.6697806,-3.577978779,0.03,5.19222222222225,NaN,0,NaN,1.28461348832843e-05,NaN,1.28461348832843e-05
201201011000,201201011030,-9999,1,-9999,2,-9999,2,-1.731,1,0,25.32,16.63,29.591,22.66435,0.0533,0.389818752,195.0299475,7.876609122,0.337394701,7.70377777777783,NaN,0,NaN,5.0031443382351e-06,NaN,5.0031443382351e-06
