,rmse,trial_index,arm_name,MeasAereResis,trial_status,generation_method
0,4.94e-08,0,0_0,1.4351145513355733e-08,COMPLETED,Sobol
3,4.95e-08,1,1_0,4.058761170133948e-08,COMPLETED,Sobol
15,4.95e-08,2,2_0,7.010556297376752e-08,COMPLETED,Sobol
27,4.94e-08,3,3_0,8.75500205066055e-08,COMPLETED,Sobol
39,4.95e-08,4,4_0,8.820661714300513e-08,COMPLETED,Sobol
51,4.94e-08,5,5_0,1e-07,COMPLETED,GPEI
56,4.95e-08,6,6_0,1e-08,COMPLETED,GPEI
57,4.95e-08,7,7_0,5.5319306346889286e-08,COMPLETED,GPEI
58,4.95e-08,8,8_0,2.8060506131365754e-08,COMPLETED,GPEI
59,4.95e-08,9,9_0,1.9881583028959284e-08,COMPLETED,GPEI
1,4.95e-08,10,10_0,6.284249615958216e-08,COMPLETED,GPEI
2,4.95e-08,11,11_0,4.886672674015872e-08,COMPLETED,GPEI
4,4.95e-08,12,12_0,7.930511015466367e-08,COMPLETED,GPEI
5,4.94e-08,13,13_0,3.304151684234277e-08,COMPLETED,GPEI
6,4.95e-08,14,14_0,9.710841545180796e-08,COMPLETED,GPEI
7,4.95e-08,15,15_0,4.311197788181374e-08,COMPLETED,GPEI
8,4.95e-08,16,16_0,1.4297065179737334e-08,COMPLETED,GPEI
9,4.95e-08,17,17_0,3.5840607089436125e-08,COMPLETED,GPEI
10,4.95e-08,18,18_0,7.546514613030015e-08,COMPLETED,GPEI
11,4.95e-08,19,19_0,8.184770960482617e-08,COMPLETED,GPEI
12,4.94e-08,20,20_0,4.652422364102174e-08,COMPLETED,GPEI
13,4.95e-08,21,21_0,5.867770009871236e-08,COMPLETED,GPEI
14,4.95e-08,22,22_0,9.316193584899558e-08,COMPLETED,GPEI
16,4.95e-08,23,23_0,2.5155516685917975e-08,COMPLETED,GPEI
17,4.95e-08,24,24_0,5.2183300227803385e-08,COMPLETED,GPEI
18,4.95e-08,25,25_0,6.602624521311741e-08,COMPLETED,GPEI
19,4.95e-08,26,26_0,8.487750943750143e-08,COMPLETED,GPEI
20,4.95e-08,27,27_0,1.6587457060813903e-08,COMPLETED,GPEI
21,4.94e-08,28,28_0,7.254061087034642e-08,COMPLETED,GPEI
22,4.94e-08,29,29_0,3.046941933222115e-08,COMPLETED,GPEI
23,4.95e-08,30,30_0,6.799362805671991e-08,COMPLETED,GPEI
24,4.95e-08,31,31_0,2.186882928945124e-08,COMPLETED,GPEI
25,4.95e-08,32,32_0,7.375618774443864e-08,COMPLETED,GPEI
26,4.95e-08,33,33_0,9.06515235826373e-08,COMPLETED,GPEI
28,4.94e-08,34,34_0,9.526104654185474e-08,COMPLETED,GPEI
29,4.95e-08,35,35_0,6.035386160947382e-08,COMPLETED,GPEI
30,4.94e-08,36,36_0,1.251212771050632e-08,COMPLETED,GPEI
31,4.95e-08,37,37_0,3.801320142112673e-08,COMPLETED,GPEI
32,4.94e-08,38,38_0,7.723391380161047e-08,COMPLETED,GPEI
33,4.95e-08,39,39_0,2.3508705142885446e-08,COMPLETED,GPEI
34,4.95e-08,40,40_0,6.440664959140122e-08,COMPLETED,GPEI
35,4.95e-08,41,41_0,5.419293470680713e-08,COMPLETED,GPEI
36,4.95e-08,42,42_0,5.032747731544077e-08,COMPLETED,GPEI
37,4.95e-08,43,43_0,5.711438159458339e-08,COMPLETED,GPEI
38,4.95e-08,44,44_0,8.32598525006324e-08,COMPLETED,GPEI
40,4.95e-08,45,45_0,1.852369278669357e-08,COMPLETED,GPEI
41,4.95e-08,46,46_0,4.460988100618124e-08,COMPLETED,GPEI
42,4.95e-08,47,47_0,3.433723371475935e-08,COMPLETED,GPEI
43,4.95e-08,48,48_0,3.185649866238236e-08,COMPLETED,GPEI
44,4.95e-08,49,49_0,9.156516326591372e-08,COMPLETED,GPEI
45,4.95e-08,50,50_0,2.645222912542522e-08,COMPLETED,GPEI
46,4.95e-08,51,51_0,4.7434422867372626e-08,COMPLETED,GPEI
47,4.95e-08,52,52_0,9.436574637889862e-08,COMPLETED,GPEI
48,4.95e-08,53,53_0,6.189781035296619e-08,COMPLETED,GPEI
49,4.95e-08,54,54_0,8.014581068418919e-08,COMPLETED,GPEI
50,4.95e-08,55,55_0,8.603144789114594e-08,COMPLETED,GPEI
52,4.95e-08,56,56_0,1.4297400331124663e-08,COMPLETED,GPEI
53,4.94e-08,57,57_0,1.0044285701587797e-08,COMPLETED,GPEI
54,4.94e-08,58,5_0,1e-07,COMPLETED,GPEI
55,2.74e-08,59,59_0,9.986280143308794e-08,COMPLETED,GPEI
