,rmse,trial_index,arm_name,vcmax_np1,vcmax_np2,vcmax_np3,trial_status,generation_method
0,2.9797000000000003e-05,0,0_0,3.089795708656311,0.18558408692479134,0.25425583124160767,COMPLETED,Sobol
3,4.1228000000000006e-05,1,1_0,4.5452895276248455,0.41899779299274087,0.03861231589689851,COMPLETED,Sobol
15,8.83405e-05,2,2_0,5.8282493725419044,0.7768898857757449,0.116069455165416,COMPLETED,Sobol
27,2.5624e-05,3,3_0,3.3565320633351803,0.7133108535781503,0.4572030305862427,COMPLETED,Sobol
39,3.11301e-05,4,4_0,2.373645029962063,1.257183470763266,0.31122037628665566,COMPLETED,Sobol
51,3.16134e-05,5,5_0,2.403999121583954,0.6200758279296327,0.3816801326645346,COMPLETED,GPEI
56,2.11215e-05,6,6_0,3.3445289211197125,1.2779221970390842,0.5,COMPLETED,GPEI
57,2.3925000000000002e-05,7,7_0,3.7782338092342567,0.17936514046816351,0.4759950737723077,COMPLETED,GPEI
58,1.90289e-05,8,8_0,3.288897053324125,0.8025060937175338,0.23238078745586604,COMPLETED,GPEI
59,2.38564e-05,9,9_0,3.0981468737081848,0.0,0.0,COMPLETED,GPEI
1,3.17608e-05,10,10_0,2.24243155013735,0.10090681513517782,0.5,COMPLETED,GPEI
2,3.12811e-05,11,11_0,2.0390744788366004,0.8674823806339051,0.04970665443359403,COMPLETED,GPEI
4,3.17854e-05,12,12_0,2.0,1.5,0.5,COMPLETED,GPEI
5,3.17561e-05,13,13_0,2.0,0.7681914770890533,0.5,COMPLETED,GPEI
6,1.44893e-05,14,14_0,4.550466062661357,0.7993949884737122,0.5,COMPLETED,GPEI
7,1.41425e-05,15,15_0,4.189213460099862,1.4212720459239663,0.5,COMPLETED,GPEI
8,1.61953e-05,16,16_0,3.414343126842378,1.5,0.04798560475349141,COMPLETED,GPEI
9,1.58908e-05,17,17_0,3.8827296442168686,1.5,0.31230638328208776,COMPLETED,GPEI
10,1.15637e-05,18,18_0,4.6348901816027865,0.0,0.5,COMPLETED,GPEI
11,1.1781700000000001e-05,19,19_0,4.132510782583432,0.9256636882110213,0.4003895825074125,COMPLETED,GPEI
12,2.95676e-05,20,20_0,4.6040253413701056,1.5,0.5,COMPLETED,GPEI
13,1.15017e-05,21,21_0,4.166265957336658,0.9243514022053967,0.5,COMPLETED,GPEI
14,1.10103e-05,22,22_0,3.270235518885938,0.9878663408164478,0.0,COMPLETED,GPEI
16,1.13037e-05,23,23_0,2.97651696824929,1.5,0.0,COMPLETED,GPEI
17,1.08842e-05,24,24_0,3.4034906603144046,1.5,0.21203146490709818,COMPLETED,GPEI
18,1.41802e-05,25,25_0,3.038199202577502,1.0818513960634655,0.0,COMPLETED,GPEI
19,1.24316e-05,26,26_0,4.3961972520434305,0.2961475645714472,0.4872426560673732,COMPLETED,GPEI
20,1.39232e-05,27,27_0,3.095023878706738,1.5,0.14913357644831823,COMPLETED,GPEI
21,1.19357e-05,28,28_0,4.405391654547872,0.0,0.3889157779012724,COMPLETED,GPEI
22,1.8046e-05,29,29_0,2.873451761782881,0.9551619933314675,0.0,COMPLETED,GPEI
23,1.41694e-05,30,30_0,3.1014099204721397,1.2192001261852647,0.07550100541259297,COMPLETED,GPEI
24,1.31354e-05,31,31_0,3.401562811219353,1.5,0.31142788181162373,COMPLETED,GPEI
25,1.10309e-05,32,32_0,4.407556325232889,0.3049789377762302,0.4174967341457121,COMPLETED,GPEI
26,1.5508200000000002e-05,33,33_0,4.38161544322212,0.0,0.5,COMPLETED,GPEI
28,1.15285e-05,34,34_0,3.596132431604368,0.5449442625411639,0.0,COMPLETED,GPEI
29,1.1157e-05,35,35_0,3.882411171148113,1.2750194445060123,0.4639832674034277,COMPLETED,GPEI
30,1.0808e-05,36,36_0,3.7323774882982725,0.7590341130121051,0.17030865190675584,COMPLETED,GPEI
31,1.49823e-05,37,37_0,5.009564394644635,0.0,0.5,COMPLETED,GPEI
32,1.19791e-05,38,38_0,4.648848359365783,0.0,0.3874104308851672,COMPLETED,GPEI
33,1.07337e-05,39,39_0,3.422131654535895,0.7616012262149328,0.0,COMPLETED,GPEI
34,1.44423e-05,40,40_0,3.9461612529646635,0.0,0.1897017394112136,COMPLETED,GPEI
35,1.09462e-05,41,41_0,3.510012531136571,0.7956039108285113,0.07525398929302683,COMPLETED,GPEI
36,1.8017800000000002e-05,42,42_0,2.5678831261169464,1.5,0.0,COMPLETED,GPEI
37,1.1531400000000001e-05,43,43_0,4.027368193857509,0.434006622959079,0.2728610846501234,COMPLETED,GPEI
38,1.13416e-05,44,44_0,3.8303504231295524,1.5,0.5,COMPLETED,GPEI
40,1.08648e-05,45,45_0,3.599982177383901,1.1495431663195803,0.21112187001222016,COMPLETED,GPEI
41,1.15131e-05,46,46_0,3.8034687884175695,0.8973217974902379,0.2918414784050368,COMPLETED,GPEI
42,1.185e-05,47,47_0,3.5596214523702647,0.873044840284263,0.06042815972151998,COMPLETED,GPEI
43,1.18548e-05,48,48_0,3.797409938428883,0.5232687155070189,0.2023869461450927,COMPLETED,GPEI
44,1.24841e-05,49,49_0,3.7662108510073695,0.27493776407372195,0.12896052367550187,COMPLETED,GPEI
45,1.11671e-05,50,50_0,3.9726529884977264,1.2272125919410553,0.5,COMPLETED,GPEI
46,1.08064e-05,51,51_0,4.229148366166791,0.4294006152771963,0.35410810145865956,COMPLETED,GPEI
47,1.17873e-05,52,52_0,4.637931203805964,0.21097731402440276,0.4626816393070527,COMPLETED,GPEI
