,rmse,trial_index,arm_name,vcmax_np1,trial_status,generation_method
0,6.76089e-05,0,0_0,2.729911506175995,COMPLETED,Sobol
3,4.2225500000000004e-05,1,1_0,1.512121707201004,COMPLETED,Sobol
15,0.00017757150000000002,2,2_0,4.760091407224536,COMPLETED,Sobol
27,0.0001578501,3,3_0,4.4931990979239345,COMPLETED,Sobol
39,5.7380800000000005e-05,4,4_0,2.46272558812052,COMPLETED,Sobol
51,4.0275500000000004e-05,5,5_0,0.0,COMPLETED,GPEI
56,4.4512500000000005e-05,6,6_0,1.7216651882693932,COMPLETED,GPEI
57,4.0275500000000004e-05,7,7_0,0.865407340915698,COMPLETED,GPEI
58,4.0275500000000004e-05,8,8_0,0.5688036242825615,COMPLETED,GPEI
59,4.0275500000000004e-05,9,9_0,1.1944007931924285,COMPLETED,GPEI
1,4.0275500000000004e-05,10,10_0,0.3195697460971134,COMPLETED,GPEI
2,4.0275500000000004e-05,11,11_0,0.14188558915549712,COMPLETED,GPEI
4,4.0973600000000004e-05,12,12_0,1.3656236003656752,COMPLETED,GPEI
5,4.0275500000000004e-05,13,13_0,0.3195605265515804,COMPLETED,GPEI
6,4.0275500000000004e-05,14,14_0,0.14787591766802877,COMPLETED,GPEI
7,4.0275500000000004e-05,15,15_0,0.7012002273272768,COMPLETED,GPEI
8,4.0275500000000004e-05,16,16_0,0.4651418444726646,COMPLETED,GPEI
9,4.0275500000000004e-05,17,17_0,1.077511951636846,COMPLETED,GPEI
10,4.0275500000000004e-05,18,18_0,0.23294906381465308,COMPLETED,GPEI
11,4.0275500000000004e-05,19,19_0,1.036504972713366,COMPLETED,GPEI
12,4.0275500000000004e-05,20,20_0,1.1070771150626688,COMPLETED,GPEI
13,4.0624700000000004e-05,21,21_0,1.3099788727785717,COMPLETED,GPEI
14,4.0275500000000004e-05,22,22_0,0.7877180531594341,COMPLETED,GPEI
16,4.0275500000000004e-05,23,23_0,0.06812625142906802,COMPLETED,GPEI
17,4.0275500000000004e-05,24,24_0,1.1462389696237802,COMPLETED,GPEI
18,4.0275500000000004e-05,25,25_0,0.9499485594056521,COMPLETED,GPEI
19,4.0275500000000004e-05,26,26_0,0.3985179742576806,COMPLETED,GPEI
20,4.0275500000000004e-05,27,27_0,0.6341546913608909,COMPLETED,GPEI
21,4.0275500000000004e-05,28,28_0,0.9888669846336444,COMPLETED,GPEI
22,4.0275500000000004e-05,29,29_0,0.7493975293830174,COMPLETED,GPEI
23,4.0275500000000004e-05,30,30_0,0.37379385054698744,COMPLETED,GPEI
24,4.0275500000000004e-05,31,31_0,0.2671492751687765,COMPLETED,GPEI
25,4.0275500000000004e-05,32,32_0,0.6376865740261118,COMPLETED,GPEI
26,4.0275500000000004e-05,33,33_0,1.1334055268346566,COMPLETED,GPEI
28,4.0275500000000004e-05,34,5_0,0.0,COMPLETED,GPEI
29,4.0275500000000004e-05,35,35_0,0.62115158979991,COMPLETED,GPEI
30,4.0275500000000004e-05,36,36_0,0.513175177128197,COMPLETED,GPEI
31,4.0275500000000004e-05,37,37_0,0.9055797507084795,COMPLETED,GPEI
32,4.0275500000000004e-05,38,38_0,0.041873861895359014,COMPLETED,GPEI
33,4.0275500000000004e-05,39,39_0,0.09998235953998404,COMPLETED,GPEI
34,4.0275500000000004e-05,40,40_0,0.19470709129741426,COMPLETED,GPEI
35,4.0275500000000004e-05,41,41_0,0.8471731509419556,COMPLETED,GPEI
36,4.0275500000000004e-05,42,42_0,1.1141670164054338,COMPLETED,GPEI
37,4.0275500000000004e-05,43,43_0,0.450645128461766,COMPLETED,GPEI
38,4.0275500000000004e-05,44,44_0,1.1084378593759026,COMPLETED,GPEI
40,0.0001168325,45,45_0,3.8761750189588513,COMPLETED,GPEI
41,4.0275500000000004e-05,46,46_0,1.1462881420277247,COMPLETED,GPEI
42,4.0275500000000004e-05,47,47_0,1.1346260518338933,COMPLETED,GPEI
43,4.0275500000000004e-05,48,5_0,0.0,COMPLETED,GPEI
44,4.0275500000000004e-05,49,49_0,0.5401118005757445,COMPLETED,GPEI
45,4.0275500000000004e-05,50,50_0,0.802151453114766,COMPLETED,GPEI
46,4.0275500000000004e-05,51,51_0,0.5013500610437109,COMPLETED,GPEI
47,4.0275500000000004e-05,52,52_0,1.1529040770148653,COMPLETED,GPEI
48,4.0275500000000004e-05,53,5_0,0.0,COMPLETED,GPEI
49,4.0275500000000004e-05,54,54_0,0.6799663553094444,COMPLETED,GPEI
50,4.0275500000000004e-05,55,55_0,0.4312335760442498,COMPLETED,GPEI
52,4.0275500000000004e-05,56,56_0,0.18681292988422904,COMPLETED,GPEI
53,4.0275500000000004e-05,57,57_0,0.06212054032894422,COMPLETED,GPEI
54,4.0275500000000004e-05,58,5_0,0.0,COMPLETED,GPEI
55,0.0002041346,59,59_0,0.3506226821939269,COMPLETED,GPEI
